"id_cordee","lib_cordee","region","academie","departement","commune","composante_cordee","lycees_sources"
"C0073","Vers une prépa scientifique pour l'égalité des chances","Rhône-Alpes","Grenoble",26,"Valence","LYCEES SOURCES","Lycée Camille Vernet"
"C0036","Programme ""égalité des chances"" pour les études en architecture","Aquitaine","Bordeaux",64,"Anglet","LYCEES SOURCES","Lycée Cantau"
"C0089","Escapade","Limousin","Limoges",19,"Egletons","LYCEES SOURCES","Lycée Caraminot"
"C0091","Ruralité : ambition, mobilité et réussite","Limousin","Limoges",19,"Egletons","LYCEES SOURCES","Lycée Caraminot"
"C0135","BRIO : fais un bond pour la réussite ","Pays de la Loire","Nantes",44,"Nantes","LYCEE(S) AVEC CPGE","Lycée Carcouët"
"C0135","BRIO : fais un bond pour la réussite ","Pays de la Loire","Nantes",44,"Nantes","LYCEES SOURCES","Lycée Carcouët"
"C0101","Parcours d'excellence des STI","Rhône-Alpes","Lyon",1,"Bourg en Bresse","LYCEES SOURCES","Lycée Cariat"
"C0015","Spé IEP","Provence Alpes Côte d'Azur","Aix-Marseille",6,"Cannes","LYCEES SOURCES","Lycée Carnot"
"C0064","Eiffel de la réussite","Bourgogne","Dijon",21,"Dijon","LYCEE(S) AVEC CPGE","Lycée Carnot"
"C0101","Parcours d'excellence des STI","Rhône-Alpes","Lyon",42,"Roanne","LYCEES SOURCES","Lycée Carnot"
"C0102","Parcours pour l'orientation vers les filières d'économie et de gestion","Rhône-Alpes","Lyon",1,"Bourg-en-Bresse","LYCEES SOURCES","Lycée Carriat"
"C0106","Séminaire Lycée","Rhône-Alpes","Lyon",1,"Bourg-en-Bresse","LYCEES SOURCES","Lycée Carriat"
"C0013","Préparation à l'université","Provence Alpes Côte d'Azur","Aix-Marseille",13,"Marseille","LYCEES SOURCES","Lycée Casimir Perier"
"C0020","Accès et réussite à l'UPJV","Picardie","Amiens",60,"Clermont","LYCEES SOURCES","Lycée Cassini"
"C0013","Préparation à l'université","Provence Alpes Côte d'Azur","Aix-Marseille",13,"Aix-en-Provence","LYCEES SOURCES","Lycée Célony"
"C0080","Cordée des sciences de l'ingénieur","Nord-Pas-de-Calais","Lille",59,"Lille","LYCEE(S) AVEC CPGE","Lycée César Baggio"
"C0084","Programme d'études intégrées","Nord-Pas-de-Calais","Lille",59,"Lille","LYCEE(S) AVEC CPGE","Lycée César Baggio"
"C0085","Une grande école, pourquoi pas moi?","Nord-Pas-de-Calais","Lille",59,"Lille","LYCEE(S) AVEC CPGE","Lycée César Baggio"
"C0080","Cordée des sciences de l'ingénieur","Nord-Pas-de-Calais","Lille",59,"Lille","LYCEES SOURCES","Lycée César Baggio"
"C0085","Une grande école, pourquoi pas moi?","Nord-Pas-de-Calais","Lille",59,"Lille","LYCEES SOURCES","Lycée César Baggio"
"C0071","Un ascenseur pour la réussite","Rhône-Alpes","Grenoble",38,"Grenoble","LYCEE(S) AVEC CPGE","Lycée Champollion"
"C0161","ENS - PSU - TALENS","Ile-de-France","Paris",46,"Figeac","LYCEES SOURCES","Lycée Champollion"
"C0043","Ambition prépa Dupuy","Auvergne","Clermont-Ferrand",48,"Mende","LYCEES SOURCES","Lycée Chaptal"
"C0238","Jean-Louis Le Moigne","Ile-de-France","Versailles",75,"Paris","LYCEE(S) AVEC CPGE","Lycée Chaptal"
"C0134","Université Paul Verlaine - Metz","Lorraine","Nancy-Metz",57,"Thionville","LYCEES SOURCES","Lycée Charlemagne"
"C0157","Cap-Ingénieur","Ile-de-France","Paris",75018,"Paris","LYCEES SOURCES","Lycée Charles de Foucault"
"C0064","Eiffel de la réussite","Bourgogne","Dijon",21,"Dijon","LYCEES SOURCES","Lycée Charles de Gaulle"
"C0222","Donnez des ailes à votre avenir","Midi-Pyrénées","Toulouse",31,"Muret","LYCEES SOURCES","Lycée Charles de Gaulle"
"C0020","Accès et réussite à l'UPJV","Picardie","Amiens",60,"Compiègne","LYCEES SOURCES","Lycée Charles de Gaulle"
"C0026","Passeport étudiant : une grande école pourquoi pas moi","Picardie","Amiens",60,"Compiègne","LYCEES SOURCES","Lycée Charles de Gaulle"
"C0038","Sciences Po Bordeaux, je le peux parce que je le veux","Aquitaine","Bordeaux",40,"Mont de Marsan","LYCEES SOURCES","Lycée Charles Despiau"
"C0043","Ambition prépa Dupuy","Auvergne","Clermont-Ferrand",43,"Le Puy en Velay","LYCEE(S) AVEC CPGE","Lycée Charles et Adrien Dupuy"
"C0217","Tutorat d'excellence","Alsace","Strasbourg",67,"Strasbourg","LYCEE(S) AVEC CPGE","Lycée Charles Frey"
"C0013","Préparation à l'université","Provence Alpes Côte d'Azur","Aix-Marseille",13,"Marseille","LYCEES SOURCES","Lycée Charles Péguy"
"C0139","Traits d'union","Pays de la Loire","Nantes",44,"Gorges","LYCEES SOURCES","Lycée Charles Péguy"
"C0236","Edouard Michelin","Ile-de-France","Versailles",75,"Paris","LYCEES SOURCES","Lycée Charles Péguy"
"C0236","Edouard Michelin","Ile-de-France","Versailles",93,"Bobigny","LYCEES SOURCES","Lycée Charles Péguy"
"C0192","OPERA : orienter et promouvoir l'excellence et la réussite par l'accompagnement","Bretagne","Rennes",35,"Combourg","LYCEES SOURCES","Lycée Chateaubriand"
"C0195","Partenariat EN-Rennes 1 et Rennes 2","Bretagne","Rennes",35,"Combourg","LYCEES SOURCES","Lycée Chateaubriand"
"C0192","OPERA : orienter et promouvoir l'excellence et la réussite par l'accompagnement","Bretagne","Rennes",35,"Rennes","LYCEE(S) AVEC CPGE","Lycée Chateaubriand "
"C0192","OPERA : orienter et promouvoir l'excellence et la réussite par l'accompagnement","Bretagne","Rennes",35,"Rennes","TETE(S) DE CORDEE","Lycée Chateaubriand à Rennes"
"C0084","Programme d'études intégrées","Nord-Pas-de-Calais","Lille",59,"Douai","LYCEE(S) AVEC CPGE","Lycée Châtelet"
"C0086","Une grande école, pourquoi pas moi?","Nord-Pas-de-Calais","Lille",59,"Douai","LYCEE(S) AVEC CPGE","Lycée Châtelet"
"C0196","Partenariat lycées-Université de Rennes 1","Bretagne","Rennes",35,"Combourg","LYCEES SOURCES","Lycée Chateuabriand"
"C0013","Préparation à l'université","Provence Alpes Côte d'Azur","Aix-Marseille",13,"Marseille","LYCEES SOURCES","Lycée Chevreul Blancarde"
"C0135","BRIO : fais un bond pour la réussite ","Pays de la Loire","Nantes",49,"Angers","LYCEE(S) AVEC CPGE","Lycée Chevrollier"
"C0138","Elan 49","Pays de la Loire","Nantes",49,"Angers","LYCEE(S) AVEC CPGE","Lycée Chevrollier"
"C0138","Elan 49","Pays de la Loire","Nantes",49,"Angers","LYCEES SOURCES","Lycée Chevrollier"
"C0148","Les études sup…c'est aussi pour moi","Centre","Orléans-Tours",37,"Tours ","LYCEES SOURCES","Lycée Choiseul"
"C0221","DISPO","Midi-Pyrénées","Toulouse",9,"Mirepoix","LYCEES SOURCES","Lycée Cité scolaire de Mirepoix"
"C0222","Donnez des ailes à votre avenir","Midi-Pyrénées","Toulouse",9,"Mirepoix","LYCEES SOURCES","Lycée Cité scolaire de Mirepoix"
"C0100","Ouverture sociale des CPGE et école d'été","Rhône-Alpes","Lyon",69,"Villefranche-sur-Saône","LYCEE(S) AVEC CPGE","Lycée Claude Bernard"
"C0104","Programme Egalité des chances et démocratisation-Entrer à l'IEP","Rhône-Alpes","Lyon",69,"Villefranche-sur-Saône","LYCEE(S) AVEC CPGE","Lycée Claude Bernard"
"C0106","Séminaire Lycée","Rhône-Alpes","Lyon",69,"Villefranche-sur-Saône","LYCEE(S) AVEC CPGE","Lycée Claude Bernard"
"C0108","Trait d'union Prépa valorisation des filières technologiques","Rhône-Alpes","Lyon",69,"Villefranche-sur-Saône","LYCEE(S) AVEC CPGE","Lycée Claude Bernard"
"C0109","Trait d'union Multicampus multiquartiers","Rhône-Alpes","Lyon",69,"Villefranche-sur-Saône","LYCEE(S) AVEC CPGE","Lycée Claude Bernard"
"C0108","Trait d'union Prépa valorisation des filières technologiques","Rhône-Alpes","Lyon",69,"Villefranche-sur-Saône","LYCEES SOURCES","Lycée Claude Bernard"
"C0109","Trait d'union Multicampus multiquartiers","Rhône-Alpes","Lyon",69,"Villefranche-sur-Saône","LYCEES SOURCES","Lycée Claude Bernard"
"C0167","Prépaplus","Ile-de-France","Paris",75016,"Paris","TETE(S) DE CORDEE","Lycée Claude Bernard"
"C0167","Prépaplus","Ile-de-France","Paris",75016,"Paris","LYCEE(S) AVEC CPGE","Lycée Claude Bernard"
"C0122","Charte pour l'égalité des chances","Lorraine","Nancy-Metz",88,"Epinal","LYCEE(S) AVEC CPGE","Lycée Claude Gellée"
"C0205","EDRESUP ","Haute Normandie","Rouen",76,"Le Havre","LYCEES SOURCES","Lycée Claude Monet"
"C0221","DISPO","Midi-Pyrénées","Toulouse",82,"Monteils-Caussade","LYCEES SOURCES","Lycée Claude Nougaro"
"C0135","BRIO : fais un bond pour la réussite ","Pays de la Loire","Nantes",44,"Nantes","LYCEE(S) AVEC CPGE","Lycée Clémenceau"
"C0201","Course en cours","Haute Normandie","Rouen",27,"Bernay","LYCEES SOURCES","Lycée Clément Ader"
"C0228","Ambition d'enseignement supérieur - Lycée du Parc des Loges","Ile-de-France","Versailles",91,"Athis-Mons","LYCEES SOURCES","Lycée Clément Ader"
"C0064","Eiffel de la réussite","Bourgogne","Dijon",21,"Beaune","LYCEES SOURCES","Lycée Clos Maire"
"C0156","Cap en Sup","Ile-de-France","Paris",75,"Paris","LYCEES SOURCES","Lycée Colbert"
"C0161","ENS - PSU - TALENS","Ile-de-France","Paris",75010,"Paris","LYCEES SOURCES","Lycée Colbert "
"C0137","Cordées de la réussite sarthoises","Pays de la Loire","Nantes",72,"Sablé-sur-Sarthe","LYCEES SOURCES","Lycée Colbert de Torcy"
"C0020","Accès et réussite à l'UPJV","Picardie","Amiens",2,"Saint Quentin","LYCEES SOURCES","Lycée Condorcet"
"C0022","Passeport étudiant","Picardie","Amiens",2,"Saint Quentin","LYCEES SOURCES","Lycée Condorcet"
"C0023","Passeport étudiant","Picardie","Amiens",2,"Saint Quentin","LYCEES SOURCES","Lycée Condorcet"
"C0024","Passeport étudiant","Picardie","Amiens",2,"Saint Quentin","LYCEES SOURCES","Lycée Condorcet"
"C0038","Sciences Po Bordeaux, je le peux parce que je le veux","Aquitaine","Bordeaux",33,"Bordeaux","LYCEES SOURCES","Lycée Condorcet"
"C0121","La cordée de la réussite Arts et métiers Paris Tech Metz","Lorraine","Nancy-Metz",57,"Schoeneck","LYCEES SOURCES","Lycée Condorcet"
"C0020","Accès et réussite à l'UPJV","Picardie","Amiens",60,"Meru","LYCEES SOURCES","Lycée Condorcet"
"C0022","Passeport étudiant","Picardie","Amiens",60,"Meru","LYCEES SOURCES","Lycée Condorcet"
"C0023","Passeport étudiant","Picardie","Amiens",60,"Meru","LYCEES SOURCES","Lycée Condorcet"
"C0024","Passeport étudiant","Picardie","Amiens",60,"Meru","LYCEES SOURCES","Lycée Condorcet"
"C0025","Passeport étudiant : les jeudis de la science","Picardie","Amiens",60,"Meru","LYCEES SOURCES","Lycée Condorcet"
