"numero_uai","denomination_principale_uai","patronyme_uai","adresse_uai","localite_acheminement_uai","departement","code_postal_uai"
"0501987N","CENTRE FORMATION APPRENTIS","LYCEE MARITIME ET AQUACOLE","RUE MATIGNON","CHERBOURG OCTEVILLE CEDEX",50,50103
"0541320S","LYCEE GEN.ET TECHNOL.PRIVE","JEAN-BAPTISTE VATELOT","6 RUE DE LA REPUBLIQUE","TOUL CEDEX",54,54203
"0540044E","LYCEE GENERAL ET TECHNOLOGIQUE","ARTHUR VAROQUAUX","RUE JEAN MOULIN","TOMBLAINE",54,54510
"0520008B","LYCEE PROFESSIONNEL","EUGENE DECOMBLE","47 avenue D'ASHTON UNDER LYNE","CHAUMONT",52,52000
"0520019N","LYCEE GENERAL ET TECHNOLOGIQUE","PHILIPPE LEBON","11 rue DE SPRENDLINGEN","JOINVILLE CEDEX",52,52301
"0520021R","LYCEE POLYVALENT","DIDEROT","21  AVENUE DU GAL DE GAULLE","LANGRES CEDEX",52,52206
"0511762N","COURS DE PROMOTION SOCIALE","LYCEE DE SEZANNE","RUE DE LA FONTAINE DU VE","SEZANNE",51,51120
"0511763P","COURS DE PROMOTION SOCIALE","LYCEE VITRY LE FRANCOIS","FAUBOURG DE VITRY LE BRULE","VITRY LE FRANCOIS",51,51300
"0540058V","LYCEE GENERAL ET TECHNOLOGIQUE","JACQUES MARQUETTE","PLACE FOCH","PONT A MOUSSON CEDEX",54,54701
"0540059W","LYCEE PROFESSIONNEL","HELENE BARDOT","12 PLACE SAINT ANTOINE","PONT A MOUSSON CEDEX",54,54701
"0540060X","LYCEE PROFESSIONNEL","LA TOURNELLE","2  RUE DE LORRAINE","PONT ST VINCENT",54,54550
"0520893N","LYCEE AGRICOLE PRIVE","DROYES","Rue DE LA MOTTE","RIVES DERVOISES",52,52220
"0501299R","LYCEE GEN.ET TECHNOL.PRIVE","THOMAS HELYE","87 rue EMMANUEL LIAIS","CHERBOURG EN COTENTIN",50,50100
"0511884W","LPO LYCEE DES METIERS","GEORGES BRIERE","2 rue VAUBAN","REIMS CEDEX",51,51097
"0512097C","FARPI LYCEE CLEMENCEAU REIMS",,"46 AVENUE GEORGES CLEMENCEAU","REIMS CEDEX",51,51096
"0561555L","GRETA PLUS BRETAGNE SUD","LYCEE DES METIERS COLBERT","117 BOULEVARD LEON BLUM","LORIENT CEDEX",56,56321
"0501941N","LYCEE PROFESSIONNEL PRIVE","INSTITUTION NOTRE DAME","43 rue SEBLINE","CARENTAN LES MARAIS",50,50500
"0530004S","LYCEE GENERAL ET TECHNOLOGIQUE","VICTOR HUGO","4  RUE DU GAL LEMONNIER","CHATEAU GONTIER",53,53200
