"numero_uai","denomination_principale_uai","patronyme_uai","adresse_uai","localite_acheminement_uai","departement","code_postal_uai"
"0511901P","LYCEE GENERAL","COLBERT","56 rue DU DR SCHWEITZER","REIMS",51,51100
"0520741Y","LYCEE PROFESSIONNEL AGRICOLE","FAYL BILLOT","5  RUELLE AUX LOUPS","FAYL BILLOT",52,52500
"0511748Y","LYCEE PROFESSIONNEL","FRANCOIS 1ER","FAUBOURG DE VITRY LE BRULE","VITRY LE FRANCOIS CEDEX",51,51308
"0500016W","LYCEE GENERAL ET TECHNOLOGIQUE","JEAN FRANCOIS MILLET","1  RUE DE BOUGAINVILLE","CHERBOURG EN COTENTIN",50,50130
"0500017X","LYCEE GENERAL ET TECHNOLOGIQUE","ALEXIS DE TOCQUEVILLE","34 avenue HENRI POINCARE","CHERBOURG EN COTENTIN",50,50100
"0500027H","LP LYCEE DES METIERS","LA ROQUELLE","5 rue DES COURTILLES","COUTANCES CEDEX",50,50207
"0541305A","LYCEE GEN.ET TECHNOL.PRIVE","L'ASSOMPTION","1 rue FOCH","VAL DE BRIEY",54,54150
"0541308D","LYCEE GEN.ET TECHNOL.PRIVE","ST JOSEPH","413 AVENUE DE BOUFFLERS","LAXOU CEDEX",54,54524
"0541312H","LYCEE GENERAL PRIVE","SAINT PIERRE FOURIER","14 RUE DES BENEDICTINS","LUNEVILLE",54,54300
"0541313J","LYCEE GENERAL PRIVE","SAINT LEON IX","20  RUE SAINT LEON","NANCY",54,54000
"0541314K","LYCEE CLASS.ET MODERNE PRIVE","NOTRE DAME","35 RUE DE LA RAVINELLE","NANCY CEDEX",54,54042
"0541316M","LYCEE GENERAL PRIVE","DOCTRINE CHRETIENNE","149 RUE SAINT DIZIER","NANCY",54,54000
"0541318P","LYCEE GENERAL PRIVE","NOTRE DAME SAINT SIGISBERT","19  COURS LEOPOLD","NANCY CEDEX",54,54042
"0500124N","LYCEE TECHNOLOGIQUE PRIVE","LA PROVIDENCE","1 RUE DU DOCTEUR EUGENE BECHET","AVRANCHES",50,50300
"0500126R","LYCEE POLYVALENT PRIVE","SAINT-JOSEPH","25  RUE DES ECOLES","VILLEDIEU LES POELES ROUFF",50,50800
"0500127S","LT PR LYCEE DES METIERS","LE BON SAUVEUR","Rue E  DE SURVILLE","ST LO CEDEX",50,50001
"0500132X","LYCEE PROFESSIONNEL PRIVE","INGENIEUR CACHIN","4 rue INGENIEUR CACHIN","CHERBOURG EN COTENTIN",50,50100
"0500065Z","LYCEE GENERAL","LE VERRIER","7 rue LE VERRIER","ST LO CEDEX",50,50002
"0530013B","LYCEE PROFESSIONNEL","ROBERT BURON","68 rue BELLESSORT","LAVAL CEDEX",53,53013
"0492285T","LYCEE TECHNIQUE PRIVE","LES ARDILLIERS","1 quai DU JAGUENEAU","SAUMUR CEDEX",49,49421
"0530040F","LYCEE PROFESSIONNEL","PIERRE ET MARIE CURIE","1 rue BRANLY","CHATEAU GONTIER CEDEX",53,53204
"0530048P","LYCEE GEN.ET TECHNOL.PRIVE","IMMACULEE CONCEPTION","15  RUE CROSSARDIERE","LAVAL",53,53000
"0530049R","LYCEE GEN.ET TECHNOL.PRIVE","D'AVESNIERES","51 rue D AVESNIERES","LAVAL CEDEX",53,53012
"0530052U","LYCEE GENERAL PRIVE","DON BOSCO","18  BOULEVARD ANATOLE FRANCE","MAYENNE CEDEX",53,53102
"0492060Y","LYCEE TECHNOLOGIQUE PRIVE","N D DE BONNES NOUVELLES","3 RUE MONGAZON","BEAUPREAU",49,49600
"0500028J","LP LYCEE DES METIERS","LES SAPINS","7 rue DES COURTILLES","COUTANCES CEDEX",50,50207
"0500032N","LP LYCEE DES METIERS","EDMOND DOUCET","Rue PAUL DOUMER","CHERBOURG EN COTENTIN",50,50120
"0500036T","LGT LYCEE DES METIERS","JULLIOT DE LA MORANDIERE","Rue DE LA CRETE","GRANVILLE CEDEX",50,50406
"0500037U","LP LYCEE DES METIERS","JULLIOT DE LA MORANDIERE","RUE DE LA CRETE","GRANVILLE CEDEX",50,50406
"0500038V","LYCEE PROFESSIONNEL","HOTELIER M MARLAND","RUE DES LYCEES","GRANVILLE",50,50400
"0511926S","LYCEE GENERAL ET TECHNOLOGIQUE","MARC CHAGALL","60 chaussée SAINT MARTIN","REIMS CEDEX",51,51726
"0560180S","LYCEE POLYVALENT PRIVE","NOTRE DAME DE LA PAIX","6 RUE DES ORMES","PLOEMEUR CEDEX",56,56275
"0540032S","LYCEE PROFESSIONNEL","DARCHE","2 rue VAUBAN","LONGWY CEDEX",54,54405
"0540034U","LYCEE GENERAL ET TECHNOLOGIQUE","ERNEST BICHAT","4  AVENUE DU DOCTEUR PAUL KAHN","LUNEVILLE",54,54300
"0540038Y","LYCEE GENERAL ET TECHNOLOGIQUE","HENRI POINCARE","2  RUE DE LA VISITATION","NANCY CEDEX",54,54042
"0540039Z","LYCEE GENERAL ET TECHNOLOGIQUE","JEANNE D'ARC","16  RUE PIERRE FOURIER","NANCY",54,54000
"0540040A","LYCEE GENERAL ET TECHNOLOGIQUE","FREDERIC CHOPIN","39  RUE SERGENT BLANDAN","NANCY CEDEX",54,54042
"0540041B","LYCEE GENERAL ET TECHNOLOGIQUE","GEORGES DE LA TOUR","5  RUE DE LA CROIX SAINT CLAUDE","NANCY CEDEX",54,54052
"0540042C","LYCEE GENERAL ET TECHNOLOGIQUE","HENRI LORITZ","29 rue DES JARDINIERS","NANCY CEDEX",54,54042
"0511951U","LPO LYCEE DES METIERS","JEAN TALON","105 avenue DANIEL SIMONNOT","CHALONS EN CHAMPAGNE CEDEX",51,51037
"0520685M","LYCEE GEN.ET TECHNOL.PRIVE","OUDINOT","ROUTE DE NEUILLY","CHAUMONT",52,52000
"0542295B","LYCEE TECHNOLOGIQUE PRIVE","SAINT MICHEL",,"ART SUR MEURTHE",54,54510
"0520727H","LYCEE GEN.ET TECHNOL.AGRICOLE","REGIONAL DE LA HAUTE-MARNE","Rue DU LYCEE","CHAUMONT CEDEX 9",52,52903
"0511190S","LYCEE PROFESSIONNEL","LA FONTAINE DU VE","AVENUE DE LA FONTAINE DU VE","SEZANNE CEDEX",51,51122
"0511536T","COURS DE PROMOTION SOCIALE","DU LYCEE TECHNIQUE D ETAT","10 RUE FRANKLIN ROOSEVELT","REIMS CEDEX",51,51096
"0520681H","LYCEE GENERAL PRIVE","SACRE-COEUR","4 RUE DES ABBES COUTURIER","LANGRES CEDEX",52,52204
"0540066D","LYCEE GENERAL ET TECHNOLOGIQUE","LOUIS MAJORELLE","16 rue PORTE DE METZ","TOUL",54,54200
"0540067E","LYCEE PROFESSIONNEL","REGIONAL DU TOULOIS","440 avenue DU GENERAL BIGEARD","TOUL",54,54200
"0540070H","LYCEE GENERAL ET TECHNOLOGIQUE","JACQUES CALLOT","12 rue JACQUES CALLOT","VANDOEUVRE LES NANCY",54,54500
"0572340J","LYCEE GEN.ET TECHNOL.PRIVE","SAINT JOSEPH-LA PROVIDENCE","2 avenue DU GENERAL PASSAGA","FORBACH",57,57600
"0542194S","LYCEE PROFESSIONNEL PRIVE","ESR",,"NANCY CEDEX",54,54004
"0561454B","LYCEE AGRIC ET HORTICOLE PRIVE","DE KERPLOUZ","ROUTE DU BONO","AURAY CEDEX",56,56404
"0561456D","LYCEE PROF AGRICOLE PRIVE","ST YVES","2 RUE DE LA LIBERATION","GOURIN",56,56110
"0561457E","LYCEE PROF.AGRICOLE PRIVE","PRIVE RURAL","2 RUE LUCIEN BRIEND","JOSSELIN",56,56120
"0561458F","LYCEE PROF RURAL PRIVE","KER ANNA","3  RUE KER ANNA","KERVIGNAC",56,56700
"0561459G","LYCEE PROF AGRICOLE PRIVE",,"RUE DE LA CHAPELLE","LA ROCHE BERNARD",56,56130
"0572341K","LYCEE GENERAL PRIVE","JEAN XXIII","10 RUE MONSEIGNEUR HEINTZ","MONTIGNY LES METZ CEDEX",57,57958
"0542208G","LYCEE POLYVALENT","STANISLAS","468  RUE DE VANDOEUVRE","VILLERS LES NANCY",54,54600
"0560227T","LYCEE PROFESSIONNEL AGRICOLE",,"ROUTE MUR DE BRETAGNE","PONTIVY",56,56300
"0541363N","LYCEE PROFESSIONNEL PRIVE","PIERRE DE COUBERTIN","5  RUE DU PRESIDENT ROBERT SCHUM","NANCY",54,54000
"0541364P","LYCEE PROFESSIONNEL PRIVE","MARIE IMMACULEE","33  AVENUE DU GENERAL LECLERC","NANCY",54,54000
"0541370W","LYCEE PROFESSIONNEL PRIVE","CLAUDE DAUNOT","10  BOULEVARD CLEMENCEAU","NANCY CEDEX",54,54052
"0541372Y","LYCEE D ENS.PROFESSIONN.PRIVE","ACIERIES DE POMPEY","11 RUE DES JARDINS FLEURIS","POMPEY",54,54340
"0561486L","LYCEE PROFESSIONNEL MARITIME",,"38 AVENUE LOUIS BOUGO","ETEL",56,56410
"0560228U","LYCEE AGRICOLE PRIVE","ANNE DE BRETAGNE","5  PLACE ANNE DE BRETAGNE","LOCMINE CEDEX",56,56503
"0511430C","LP LYCEE DES METIERS","JOLIOT-CURIE","4  RUE JOLIOT-CURIE","REIMS CEDEX",51,51096
"0560098C","LYCEE GEN ET TECHNOL PRIVE","NOTRE DAME DU VOEU","Rue DU CHAMP DE FOIRE","HENNEBONT CEDEX",56,56704
"0542262R","LPO LYCEE DES METIERS","BAT. ET DE L'ENERGIE E.HERE","86  BOULEVARD MARECHAL FOCH","LAXOU",54,54520
"0540083X","LYCEE PROFESSIONNEL","CAMILLE CLAUDEL","440 AVENUE DU GENERAL BIGEARD","TOUL CEDEX",54,54201
"0540084Y","LYCEE PROFESSIONNEL","FULGENCE BIENVENUE","10 RUE PROSPER MERIMEE","AUBOUE",54,54580
"0540085Z","LYCEE PROFESSIONNEL","BERTRAND SCHWARTZ","5 RUE SAINTE ANNE","POMPEY",54,54340
"0540086A","LYCEE PROFESSIONNEL","JEAN MORETTE","1 rue DU COLLEGE","LANDRES",54,54970
"0542334U","EMOP BATIMENT","LYCEE ALFRED MEZIERES","AVENUE ANDRE MALRAUX","LONGWY CEDEX",54,54401
"0560858D","LYCEE AGRICOLE PRIVE","LA TOUCHE",,"PLOERMEL CEDEX",56,56801
"0560199M","LYCEE PROFESSIONNEL PRIVE","ST GEORGES","16  RUE MARECHAL FOCH","VANNES",56,56000
"0560001X","LP LYCEE DES METIERS","BERTRAND DU GUESCLIN","50 rue PIERRE ALLIO","AURAY CEDEX",56,56406
"0542161F","LYCEE TECHNOLOGIQUE PRIVE","PIERRE DE COUBERTIN","5  RUE DU PRESIDENT ROBERT SCHUM","NANCY",54,54000
"0542336W","SERVICE MUTUALISE BATIMENT","LYCEE JEANNE D'ARC","16  RUE PIERRE FOURIER","NANCY CEDEX",54,54004
"0542337X","AUTRE SERVICE MUTUALISE INFORM","LYCEE EMMANUEL HERE","86  BOULEVARD MARECHAL FOCH","LAXOU CEDEX",54,54525
"0542338Y","SERVICE MUTUALISE BATIMENT","LYCEE ARTHUR VAROQUAUX","RUE JEAN MOULIN","TOMBLAINE",54,54510
"0530010Y","LYCEE GENERAL ET TECHNOLOGIQUE","AMBROISE PARE","17  RUE DU LYCEE","LAVAL CEDEX",53,53013
"0560008E","LP LYCEE DES METIERS","EMILE JAMES","56  RUE EMILE JAMES","ETEL",56,56410
"0511149X","LYCEE PROFESSIONNEL PRIVE","STE MARIE","11 RUE JEAN CHANDON MOET","EPERNAY",51,51200
"0511151Z","LYCEE PROFESSIONNEL PRIVE","ST JOSEPH","41 RUE DU GENERAL FERY","CHALONS EN CHAMPAGNE CEDEX",51,51037
"0520769D","COURS DE PROMOTION SOCIALE","DU LYCEE POLYVALENT NAT.","RUE DU MOULIN","JOINVILLE",52,52300
"0520698B","LYCEE PROFESSIONNEL PRIVE","ACCUEIL FEMININ","12 AVENUE DE LA REPUBLIQUE","ST DIZIER",52,52100
"0540081V","LP LYCEE DES METIERS","JEAN PROUVE","53 rue DE BONSECOURS","NANCY",54,54000
"0540082W","LYCEE PROFESSIONNEL","PAUL LOUIS CYFFLE","1  RUE CYFFLE","NANCY CEDEX",54,54052
"0561408B","LYCEE AGRICOLE PRIVE","DES PAYS DE VILAINE","ROUTE DES MOULINS","ST JACUT LES PINS",56,56220
"0542408Z","LYCEE GEN.ET TECHNOL.PRIVE","CHARLES DE FOUCAULD","1  RUE JEANNOT","NANCY",54,54000
"0560197K","LYCEE PROFESSIONNEL PRIVE","ST-MICHEL",,"PRIZIAC",56,56320
"0530813W","LYCEE PROF.AGRICOLE PRIVE","ROBERT SCHUMAN","62 RUE DE LA DIVISION LECLERC","CHATEAU GONTIER",53,53200
"0530815Y","LYCEE PROF.AGRICOLE PRIVE","LP RURAL PRIVE",,"ERNEE",53,53500
"0511271E","COURS DE PROMOTION SOCIALE","DU LYCEE TECHNIQUE NATIONALISE","220 AVENUE DU GENERAL SARRAIL","CHALONS EN CHAMPAGNE CEDEX",51,51037
"0541270M","LPO LYCEE DES METIERS","JEAN HANZELET","PLACE DE TREY","PONT A MOUSSON CEDEX",54,54701
"0541605B","LYCEE PROFESSIONNEL","JEAN MARC REISER","1 rue DU STADE","LONGLAVILLE",54,54810
"0541286E","LYCEE GENERAL ET TECHNOLOGIQUE","LOUIS BERTRAND","27 avenue ALBERT DE BRIEY","BRIEY CEDEX",54,54151
"0541986R","LYCEE GENERAL PRIVE","LA MALGRANGE","AVENUE DE LA MALGRANGE","JARVILLE LA MALGRANGE",54,54140
"0560016N","LPO LYCEE DES METIERS","BROCELIANDE",,"GUER",56,56380
"0560019S","LYCEE PROFESSIONNEL","AMPERE","RUE GUETHENNOC","JOSSELIN",56,56120
"0560025Y","LYCEE GENERAL ET TECHNOLOGIQUE","DUPUY DE LOME","4  RUE JEAN LE COUTALLER","LORIENT",56,56100
"0560026Z","LYCEE POLYVALENT","COLBERT","117  BOULEVARD LEON BLUM","LORIENT CEDEX",56,56101
"0560027A","LP LYCEE DES METIERS","MARIE LE FRANC","128  BOULEVARD LEON BLUM","LORIENT CEDEX",56,56321
"0520923W","LYCEE PROFESSIONNEL","ST EXUPERY","82 rue ANATOLE FRANCE","ST DIZIER CEDEX",52,52105
"0570094T","LYCEE POLYVALENT","MANGIN","34  RUE GAMBETTA","SARREBOURG CEDEX",57,57401
"0570095U","LYCEE PROFESSIONNEL","DOMINIQUE LABROISE","22  RUE DE LA MESANGE","SARREBOURG CEDEX",57,57403
"0570099Y","LPO LYCEE DES METIERS","HENRI NOMINE","60 rue DU MARECHAL FOCH","SARREGUEMINES CEDEX",57,57215
"0541442Z","LYCEE TECHNOLOGIQUE PRIVE","E.S.R.",,"NANCY CEDEX",54,54004
"0570194B","LYCEE GENERAL PRIVE","SAINT AUGUSTIN","56 RUE JEAN JACQUES KIEFFER","BITCHE",57,57230
"0541998D","LYCEE PROFESSIONNEL PRIVE","CHARLES DE FOUCAULD","1  RUE JEANNOT","NANCY",54,54000
"0551025R","GROUPEMENT D'ACHATS","LYCEE RAYMOND POINCARE","1 PLACE PAUL LEMAGNY","BAR LE DUC CEDEX",55,55012
"0541521K","COURS PROFESSIONNELS","DU LYCEE D ETAT MIXTE","AVENUE DE L AVIATION","LONGWY",54,54400
"0550891V","LYCEE PROFESSIONNEL","EUGENE FREYSSINET","6  AVENUE PRESIDENT KENNEDY","VERDUN CEDEX",55,55107
"0570197E","LYCEE GENERAL PRIVE","JEAN MARTIN MOYE","15 RUE PORTE D'ALLEMAGNE","FENETRANGE",57,57930
"0570201J","LYCEE GENERAL PRIVE","LA MISERICORDE","11 RUE DES RECOLLETS","METZ",57,57000
"0572728F","CTR DE FORMATION D APPRENTIS","DU LYCEE ROBERT SCHUMAN","4 RUE MONSEIGNEUR PELT","METZ CEDEX 03",57,57074
"0570112M","LYCEE GEN.ET TECHNOL.AGRICOLE","DE CHATEAU SALINS","40  ROUTE DE STRASBOURG","CHATEAU SALINS",57,57170
"0570124A","LYCEE PROFESSIONNEL","RENE CASSIN","2 rue RENE CASSIN","METZ CEDEX 02",57,57052
"0561460H","LYCEE PROF AGRICOLE PRIVE",,"20 PLACE DU DOCTEUR QUEINNEC","MALESTROIT",56,56140
"0561461J","LYCEE PROF.AGRICOLE PRIVE","PRIVE RURAL","3 RUE DE GUIBOURG","PLOERMEL CEDEX",56,56804
"0561462K","LYCEE PROF.AGRICOLE PRIVE","PRIVE RURAL","8 RUE MENTEC","PLOUAY",56,56240
"0560111S","LYCEE PRIVE","JEANNE D'ARC","6 RUE THEODORE BOTREL","PONTIVY CEDEX",56,56306
"0560114V","LYCEE GENERAL PRIVE","ST FRANCOIS-XAVIER","3  RUE THIERS","VANNES",56,56000
"0570108H","LYCEE POLYVALENT","LA BRIQUERIE","15  ROUTE DE LA BRIQUERIE","THIONVILLE",57,57100
"0560038M","LYCEE GENERAL ET TECHNOLOGIQUE","JOSEPH LOTH","4 rue J M  DE LAMENNAIS","PONTIVY CEDEX",56,56306
"0560042S","LYCEE PROFESSIONNEL","JULIEN CROZET","4  RUE DES RECOLLETS","PORT LOUIS",56,56290
"0560051B","LYCEE GENERAL ET TECHNOLOGIQUE","ALAIN RENE LESAGE","20  RUE WINSTON CHURCHILL","VANNES CEDEX",56,56017
"0550002D","LYCEE GENERAL ET TECHNOLOGIQUE","RAYMOND POINCARE","1 PLACE PAUL LEMAGNY","BAR LE DUC CEDEX",55,55012
"0550004F","LYCEE PROFESSIONNEL","LIGIER RICHIER","3  RUE JEAN BERNARD","BAR LE DUC CEDEX",55,55013
"0550008K","LYCEE POLYVALENT","HENRI VOGT","12 rue ANDRE MALRAUX","COMMERCY CEDEX",55,55205
"0570237Y","LYCEE PROFESSIONNEL","JOUFFROY D'ABBANS","39 CHEMIN D'AVRIL","MOYEUVRE GRANDE",57,57250
"0570241C","LYCEE PROFESSIONNEL PRIVE","SAINT VINCENT DE PAUL","4 RUE MARIE DOUCHET","ALGRANGE",57,57440
"0570248K","LYCEE PROFESSIONNEL PRIVE","LA PROVIDENCE","2  PLACE DU MARCHE","BOUZONVILLE",57,57320
"0570250M","LYCEE D ENS.PROFESSIONN.PRIVE","L ETOILE DU MATIN",,"EGUELSHARDT",57,57230
"0570253R","LYCEE PROFESSIONNEL PRIVE","NOTRE DAME DE LA PROVIDENCE","15 PORTE D ALLEMAGNE","FENETRANGE",57,57930
"0570255T","LYCEE D ENS.PROFESSIONN.PRIVE","LEP FILLES","173 GRAND'RUE","FLORANGE",57,57190
"0561606S","LYCEE PROFESSIONNEL PRIVE","NOTRE DAME DE LA PAIX","6 RUE DES ORMES","PLOEMEUR CEDEX",56,56275
"0561607T","LYCEE GENERAL ET TECHNOLOGIQUE","VICTOR HUGO","26 avenue FRANCOIS MITTERRAND","HENNEBONT CEDEX",56,56704
"0570324T","LP LYCEE DES METIERS","VALENTIN METZINGER","RUE DE MONTREAL","ST AVOLD",57,57500
"0542373L","GROUPEMENT D'ACHATS","LYCEE HENRI POINCARE","2  RUE DE LA VISITATION","NANCY CEDEX",54,54042
"0542374M","GROUPEMENT D'ACHATS","LYCEE ALFRED MEZIERES","AVENUE ANDRE MALRAUX","LONGWY CEDEX",54,54401
"0542376P","GROUPEMENT POUR PAYE DES C.E.S","LYCEE LEVASSOR","2 RUE LEVASSOR","DOMBASLE SUR MEURTHE",54,54110
"0560096A","LYCEE GEN ET TECHNOL PRIVE","STE JEANNE D'ARC","2 RUE PENANTRAON","GOURIN",56,56110
"0550983V","LYCEE PROFESSIONNEL PRIVE","SAINTE ANNE","14 RUE MAUTROTE","VERDUN CEDEX",55,55104
"0570264C","LYCEE PROFESSIONNEL PRIVE","SAINT JOSEPH-LA PROVIDENCE","10 RUE DE L ABBE HEYDEL","FREYMING MERLEBACH CEDEX",57,57801
"0570268G","LYCEE PROFESSIONNEL PRIVE","SAINTE CHRETIENNE","1  PASSAGE DU PENSIONNAT","ST AVOLD CEDEX",57,57506
"0570271K","LYCEE PROFESSIONNEL","LEP INDUSTRIEL ET COMMERCIAL","RUE DE L ETANG SCHOENECK",,57,57612
"0570274N","LYCEE D ENS.PROFESSIONN.PRIVE","USINOR","CHEMIN DU LEIDT","THIONVILLE",57,57100
"0540024H","LYCEE PROFESSIONNEL","ANNE FRANK","38 RUE DE LA COMMUNE DE PARIS","JARNY",54,54800
"0540027L","LYCEE PROFESSIONNEL","EMMANUEL HERE","4 AVENUE PAUL DEROULEDE","LAXOU",54,54520
"0540030P","LYCEE POLYVALENT","ALFRED MEZIERES","3 avenue ANDRE MALRAUX","LONGWY CEDEX",54,54401
"0561463L","LYCEE AGRICOLE PRIVE","STS ANGES KERLEBOST",,"PONTIVY",56,56300
"0541373Z","LYCEE D ENS.PROFESSIONN.PRIVE","NOTRE DAME","11 RUE DES JARDINS FLEURIS","POMPEY",54,54340
"0541375B","LYCEE PROFESSIONNEL PRIVE","ETPBL CEFASIM","CENTRE JEAN MONNET",,54,54402
"0541392V","LYCEE PROFESSIONNEL PRIVE",,"19 RUE SAINT-PIERRE","REHON",54,54430
"0570277S","LYCEE PROFESSIONNEL PRIVE","LEP PRIVE DE L ASM","29 RUE WILSON","HAGONDANGE",57,57300
"0541988T","LYCEE PROFESSIONNEL PRIVE","ST JOSEPH","413 AVENUE DE BOUFFLERS","LAXOU CEDEX",54,54524
"0541991W","LYCEE TECHNIQUE PRIVE","DU HAUT BOURGEOIS","35 RUE DU HAUT BOURGEOIS","NANCY CEDEX",54,54015
"0530949U","LYCEE POLYVALENT","RAOUL VADEPIED","Boulevard ROSSIGNOL","EVRON CEDEX",53,53602
"0570179K","LYCEE PROFESSIONNEL",,,"HAYANGE CEDEX",57,57703
"0561534N","LYCEE GENERAL ET TECHNOLOGIQUE","BENJAMIN FRANKLIN","1 rue DE LA FORET","AURAY CEDEX",56,56406
"0570144X","LYCEE PROFESSIONNEL","METIERS DU BATIMENT ET T.P","154  CHEMIN DE BLORY","MONTIGNY LES METZ",57,57950
"0550072E","LYCEE POLYVALENT","ALFRED KASTLER","1 RUE DE MUNNERSTADT","STENAY",55,55700
"0561627P","LYCEE GENERAL ET TECHNOLOGIQUE","CHARLES DE GAULLE","23  AVENUE PAUL CEZANNE","VANNES CEDEX",56,56017
"0570087K","LPO LYCEE DES METIERS","ET DES TECHNO INNOV. C. JULLY","59  RUE MARECHAL FOCH","ST AVOLD CEDEX",57,57501
"0572101Z","LYCEE PROFESSIONNEL PRIVE","SAINT ANDRE","1 RUE DE L'EGLISE","OTTANGE",57,57840
"0570106F","LYCEE GENERAL","CHARLEMAGNE","17 avenue CLEMENCEAU","THIONVILLE",57,57100
"0570107G","LYCEE GENERAL","HELENE BOUCHER","55  BOULEVARD FOCH","THIONVILLE",57,57100
"0560101F","LYCEE GEN ET TECHNOL PRIVE","ST LOUIS","5  RUE PERAULT","LORIENT CEDEX",56,56102
"0580761M","LYCEE POLYVALENT","MAURICE GENEVOIX","51 route D'AVRIL SUR LOIRE","DECIZE",58,58300
"0572920P","LYCEE POLYVALENT PRIVE","STE CHRETIENNE","9 RUE ST GENGOULF","METZ",57,57000
"0570021N","LYCEE POLYVALENT","CHARLES HERMITE","6 rue DU CALVAIRE","DIEUZE",57,57260
"0570023R","LYCEE GENERAL ET TECHNOLOGIQUE","ANTOINE DE SAINT-EXUPERY","11  AVENUE SAINT EXUPERY","FAMECK",57,57290
"0570030Y","LPO LYCEE DES METIERS","BLAISE PASCAL","5 rue PAUL NEY","FORBACH CEDEX",57,57608
"0580020G","LYCEE PROFESSIONNEL","PIERRE BEREGOVOY","56 rue GAMBETTA","FOURCHAMBAULT",58,58600
"0580024L","LYCEE PROFESSIONNEL","LOUIS ARAGON","RUE PABLO NERUDA","NEVERS CEDEX",58,58002
"0573281G","LYCEE GENERAL ET TECHNOLOGIQUE","DE LA COMMUNICATION","3 boulevard ARAGO","METZ",57,57070
"0573283J","LYCEE PROFESSIONNEL","JOSEPH CRESSOT","6 RUE MOZART","GUENANGE",57,57310
"0592913W","LYCEE GENERAL PRIVE","NOTRE-DAME DES ANGES","4  RUE DU BRUILLE","ST AMAND LES EAUX CEDEX",59,59733
"0592916Z","LYCEE GEN.ET TECHNOL.PRIVE","NOTRE-DAME DE GRACE","QUAI DES NERVIENS","MAUBEUGE CEDEX",59,59602
"0572214X","COURS PROFESSIONNELS","DU LYCEE TECHNIQUE NATIONALISE","RUE MARECHAL FOCH","ST AVOLD",57,57500
"0572215Y","COURS PROFESSIONNELS","DU LYCEE POLYVALENT","RUE JOFFRE","ROMBAS",57,57120
"0572216Z","COURS PROFESSIONNELS","DU LYCEE TECHNIQUE D ETAT","RUE DE VERDUN","METZ",57,57000
"0570051W","LYCEE PROFESSIONNEL","PIERRE ET MARIE CURIE","21  RUE DES VOSGES","FREYMING MERLEBACH CEDEX",57,57804
"0530904V","LYCEE PROFESSIONNEL PRIVE","IMMACULEE CONCEPTION","15  RUE CROSSARDIERE","LAVAL",53,53000
"0570077Z","LYCEE PROFESSIONNEL","MARYSE BASTIE","RUE DU TIVOLI","HAYANGE",57,57700
"0570279U","LYCEE PROFESSIONNEL PRIVE","LA PROVIDENCE","1 RUE DES FRERES MESGUIN","DIEUZE",57,57260
"0570294K","LYCEE PROFESSIONNEL PRIVE","SAINTE MARIE","21  AVENUE DU GENERAL DE GAULLE","SARREBOURG",57,57400
"0530818B","LYCEE AGRICOLE PRIVE","ROCHEFEUILLE","ROUTE DE CAEN","MAYENNE",53,53100
"0561641E","LPO LYCEE DES METIERS","MARCELLIN BERTHELOT","Avenue ROLAND GARROS","QUESTEMBERT CEDEX",56,56231
"0580582T","LYCEE PROFESSIONNEL AGRICOLE","DU MORVAN","RUE MENDES FRANCE","CHATEAU CHINON",58,58120
"0580584V","LYCEE GEN.TECHN.AGRICOLE","NEVERS SITE DE COSNE","66 rue JEAN MONNET","COSNE COURS SUR LOIRE",58,58200
"0573438C","SERVICE MUTUALISE CHAUFFAGE","LYCEE FABERT","12 RUE ST VINCENT","METZ",57,57000
"0573439D","SERVICE MUTUALISE BATIMENT","LYCEE ROBERT SCHUMAN","4 RUE MONSEIGNEUR PELT","METZ CEDEX 03",57,57074
"0573440E","SERVICE MUTUALISE BATIMENT","LYCEE LOUIS VINCENT","3 RUE DE VERDUN","METZ",57,57000
"0560117Y","LYCEE GEN ET TECHNOL PRIVE","ST PAUL","12  ALLÉE GABRIEL DESHAYES","VANNES",56,56000
"0560119A","LYCEE POLYVALENT PRIVE","STE ANNE-ST LOUIS","2 ROUTE DE LOCMARIA","STE ANNE D AURAY",56,56400
"0573437B","SERVICE MUTUALISE BATIMENT","LYCEE CHARLES HERMITE","6 RUE DU CALVAIRE","DIEUZE",57,57260
"0592832H","LP LYCEE DES METIERS","VERTES FEUILLES","95 rue GEORGES MAERTENS","ST ANDRE CEDEX",59,59871
"0561507J","LYCEE PROFESSIONNEL","LOUIS ARMAND","3 rue JEAN MOULIN","LOCMINE",56,56500
"0592833J","LYCEE PROFESSIONNEL","LES HAUTS DE FLANDRE","Avenue JUDE BLANCKAERT","SECLIN CEDEX",59,59474
"0560053D","LYCEE PROFESSIONNEL","JEAN GUEHENNO","79  AVENUE DE LA MARNE","VANNES CEDEX",56,56017
"0570211V","LYCEE GENERAL PRIVE","SAINT ANTOINE","CHEMIN DES DAMES","PHALSBOURG",57,57370
"0570214Y","LYCEE GENERAL PRIVE","SAINTE CHRETIENNE","20  RUE SAINTE CROIX","SARREGUEMINES CEDEX",57,57204
"0570216A","LYCEE GENERAL PRIVE","SAINT PIERRE CHANEL","33  RUE DU CHARDON","THIONVILLE CEDEX",57,57109
"0570225K","LYCEE PROFESSIONNEL PRIVE","INTERENTREPRISE","RUE ROBERT SCHUMAN","BOULAY",57,57220
"0570229P","LYCEE PROFESSIONNEL","ANNEXE DU LP LES GRANDS BOIS",,"FLORANGE",57,57190
